wss,dist_border_1,dist_border_2,dist_border_3,temperature,rainfall,hhi,n_sub,dist_mag_km,treated_1,cons_po,users_fix,cons_fix,cons_pf,cons_phcut1,cons_phcut5,cons_phcut10,cons_ph,year_start,type_org,loc_org,typeorg1,typeorg2,typeorg3,typeorg4,typeorg5,bill_ph,pobl_urb,pobl_tot,indrural,areaoficialkm2,altura,dismdo,nbi,IPM,TMI,tacued,taseo,talcan,y_corr_usd
964,80.95079,80.95079,126.26085,26.5,315.63,.56639141,1,79.487167,1,22.44759,418.21429,9387.7139,22.44759,22.44759,22.44759,22.44759,22.44759,10,2,0,0,1,0,0,0,.10550967,821.28571,2350.6428,.65060806,172,1370,73.00808,45.085468,70.854698,18.290548,67.113571,19.358572,17.695715,.56116569
969,11.207791,11.207791,241.52647,16.166666,203.81332,.27711147,1,68.717461,1,37.504456,157.66667,5908.5,37.504456,37.504456,37.504456,37.020309,37.504456,9,2,1,0,1,0,0,0,.099795267,967.91669,7507.4165,.87106949,112,1250,131.25671,47.634563,80.177238,16.157448,34.560833,15.331667,20.129999,.74608701
971,15.430367,15.430367,162.38071,14.083333,268.78,.41805512,1,189.77708,1,27.094639,587.16669,15905.75,27.094639,27.094639,27.094639,27.094639,27.094639,6,2,0,0,1,0,0,0,.1287888,1982.8334,6719,.70489287,1166,420,107.90445,58.45623,78.788834,25.059858,52.424999,56.423332,52.424999,.6810199
975,93.627785,93.627785,97.215431,25.214285,197.02715,.60685754,.80497175,102.93131,1,23.424643,113.42857,2658.9285,23.424643,23.424643,23.424643,23.424643,23.424643,8,2,1,0,1,0,0,0,.1207249,401.85715,2146.4285,.8127721,185,1750,29.502542,39.051094,71.395988,14.602036,12.675714,12.675714,12.675714,.45758963
980,57.182159,57.182159,227.09813,13.933333,253.248,.67959595,.59493506,264.42191,0,26.680735,3029.9333,80843.133,26.680735,26.680735,26.680735,26.680735,26.680735,14,2,1,0,1,0,0,0,.38244587,18371.533,40900.332,.55084985,3060,120,207.28,41.482437,71.141701,22.47901,49.383999,40.122002,36.299999,3.1606266
981,110.36693,110.36693,85.41246,28.5625,78.795998,0,1,143.0164,1,19.317432,543.5,10491.563,19.317432,19.317432,19.317432,19.317432,19.317432,8,4,1,0,0,0,1,0,.4166142,73461.625,75701.25,.029586496,131,431,46.980209,18.734718,47.285049,9.3152876,78.526253,75.371246,76.925003,5.7877264
982,81.011909,129.79568,129.79568,28.692308,186.91333,.44846019,1,105.82971,0,1.9997686,1998.7693,3997.0769,1.9997686,1.9997686,1.9997686,1.9997686,1.9997686,4,3,1,0,0,1,0,0,,14779.385,38087.23,.61197621,819,119,242.24821,63.036163,84.365921,24.298815,62.988461,46.856155,3.7207692,2.1135867
986,31.719526,31.719526,231.9594,13.571428,83.254288,.41197643,.99718416,138.50206,1,14.333745,357.28571,5121,14.333745,14.333745,14.333745,14.333745,14.333745,,3,,0,0,1,0,0,.24204715,864.57141,7971.2856,.89154291,61,1805,160.58037,50.190712,83.677032,22.357946,29.467142,2.8800001,2.8228571,.70389396
987,159.09698,159.09698,716.93005,23,257.65112,.21608633,1,77.14106,0,20.731558,1272.7778,26407.223,20.731558,20.731558,20.731558,20.731558,20.731558,8,4,0,0,0,0,1,0,.13254702,4879.3335,23546.666,.7927829,2001,100,169.47078,65.286888,88.62001,24.294998,57.217777,57.217777,57.217777,1.0878088
1000,116.76421,116.76421,84.771797,28,111.86143,.72218686,.87402433,142.67796,1,32.196991,147356.72,4740598,32.196991,32.196991,32.196991,32.196991,32.196991,8,4,1,0,0,0,1,0,.45717707,621956.13,643660.56,.033720437,1098,320,0,23.241421,50.58889,9.6983461,85.728569,86.465714,84.508568,48.301395
